0
517.24
517.24
208
0	4,3
1	1,3
2	1
3	2
4	1,3
5	2,3
6	1
7	2
8	1,3
9	2,3
10	1
11	2
12	1,3
13	2,3
14	1
15	4
16	1,3
17	2,3
18	1
19	2
20	1,3
21	2,3
22	1
23	2
24	1,3
25	2,3
26	1
27	2
28	1,3
29	2,3
30	1
31	4
32	4,3
33	1,3
34	1
35	2
36	1,3
37	2,3
38	1
39	2
40	1,3
41	2,3
42	1
43	2
44	1,3
45	2,3
46	1
47	4
48	1,3
49	2,3
50	1
51	2
52	1,3
53	2,3
54	1
55	2
56	1,3
57	2,3
58	1
59	2
60	1,3
61	2,3
62	1
63	4
64	4,3
65	1,3
66	1
67	2
68	1,3
69	2,3
70	1
71	2
72	1,3
73	2,3
74	1
75	2
76	1,3
77	2,3
78	1
79	4
80	1,3
81	2,3
82	1
83	2
84	1,3
85	2,3
86	1
87	2
88	1,3
89	2,3
90	1
91	2
92	1,3
93	2,3
94	1
95	4
96	1,3
97	1
98	2,3
99	4
100	1,3
101	1
102	2,3
103	4
104	1,3
105	1
106	2,3
107	4
108	1,3
109	1
110	2,3
111	4
112	1,3
113	1
114	2,3
115	4
116	1,3
117	1
118	2,3
119	4
120	1,3
121	1
122	2,3
123	4
124	1,3
125	1
126	2,3
127	4
128	1
129	2
130	1
131	2
132	1
133	2
134	1
135	2
136	1
137	2
138	1
139	2
140	1
141	2
142	1
143	2
