13500
666.7
666.7
256
0	3,4
1	1,2
2	1,3
3	1,2
4	1,3
5	1,2
6	1,3
7	1,2
8	1,3
9	1,2
10	1,3
11	1,2
12	1,3
13	1,2
14	1,3
15	1,2
16	1,3
17	1,2
18	1,3
19	1,2
20	1,3
21	1,2
22	1,3
23	1,2
24	1,3
25	1,2
26	1,3
27	1,2
28	1,3
29	2
30	4
32	4,3
33	1
34	1,3
35	1,2
36	1,3
37	1
38	1,3
39	1,2
40	1,3
41	1
42	1,3
43	1,2
44	1,3
45	1
46	1,3
47	1,2
48	1,3
49	1
50	1,3
51	1,2
52	1,3
53	1
54	1,3
55	1,2
56	1,3
57	1
58	1,3
59	1,2
60	1,3
61	1
62	1,3
63	4,2
64	4,3
65	1
66	1,3
67	1,2
68	1,3
69	1
70	1,3
71	1,2
72	1,3
73	1
74	1,3
75	1,2
76	1,3
77	1
78	1,3
79	1,2
80	1,3
81	1
82	1,3
83	1,2
84	1,3
85	1
86	1,3
87	1,2
88	1,3
89	1
90	1,3
91	1,2
92	1,3
93	1
94	1,3
95	4,2
96	4,3
97	1
98	1,3
99	1,2
100	1,3
101	1
102	1,3
103	1,2
104	1,3
105	1
106	1,3
107	1,2
108	1,3
109	1
110	1,3
111	1,2
112	1,3
113	1
114	1,3
115	1,2
116	1,3
117	1
118	1,3
119	1,2
120	1,3
121	1
122	1,3
123	1,2
124	1,3
125	1
126	1,3
127	4,2
128	4,3
129	1
130	1,3
131	1,2
132	1,3
133	1
134	1,3
135	1,2
136	1,3
137	1
138	1,3
139	1,2
140	1,3
141	2,4
142	3
143	4,2
