8500
731.7
731.7
130
0	4
1	2
2	1
3	2
4	3
5	1
6	2
7	1
8	3
9	1
10	2
11	1
12	3
13	1
14	2
15	1
16	4
17	2
18	1
19	2
20	3
21	1
22	2
23	1
24	3
25	1
26	2
27	1
28	3
29	1
30	2
31	1
32	4
1000	2
1000	1
1000	2
33	33
34	1
35	2
36	1
37	3
39	1
40	2
41	1
42	3
43	1
44	2
45	1
46	4
47	2
48	1
49	2
50	3
51	1
52	2
53	1
54	3
55	1
56	2
57	1
58	3
59	1
60	2
61	1
62	4
63	2
64	1
65	2
66	3
67	1
68	2
69	1
70	3
71	1
72	2
73	1
74	3
75	1
76	2
77	1
78	4
79	2
80	1
81	2
82	3
83	1
84	2
85	1
86	3
87	1
88	2
89	1
90	3
91	1
92	2
93	1
94	4
95	2
96	1
97	2
98	3
1000	1
1000	2
1010	4
104	3
105	1
106	2
107	1
108	3
109	1
110	2
111	4
112	4
113	2
114	1
115	2
116	3
117	1
118	2
119	4
120	3
121	1
122	2
123	1
124	1,3
125	1
126	1,2
127	4
